5,mason_bin ::: 828118107981963267 ::: 车子 打 不 着火了 ， 在 等 4S 店 过来 救援 。 正好 在 深圳湾 公园 里 看看 书 ， 休息 下 。
71,hzjab1987 ::: 359168528638689281 ::: @mochouhu 我 长 智齿 了 。 。 。
78,fqworld ::: 11530799398 ::: 说 出 去 看 一 页 台北
168,mikeropzw ::: 70700026237693952 ::: 下午 把 博哥 、 宇 飞 哥 送 走 ， 希望 一个 在 UMich 一个 在 宾大 好好 混
190,jiggo0115 ::: 219326532257202176 ::: 下周 开始 上 健身房 。
291,jiggo0115 ::: 516500037468442624 ::: 多 年 后 踏 入 了 久违 的 地方 发现 大夥 在 一起 嬉闹 的 酒吧 ， 如今 已 成为 废墟 时间 带走 的 人 事物 都 已 不再 剩下 的 只 是 比 人 高 的 杂草 与 残破 不堪 的 环境 回家 后 开 起 电脑 里 尘封 已 久 的 照片 档案 原来 当初 的 笑容 如此 年轻 有 活力 而 如今 这些 回忆 就 只能 在 电脑 里...
421,olivia4ever ::: 123711330602590208 ::: 我 在 馕里 发现 了 一 根 红色 细 短发 ， 好 正宗 的馕
550,fqworld ::: 22169505021 ::: 说 身 为 台北 人 ， 我 觉得 士林夜市 的 食物 比 其他 的 夜市 要 逊 ， 整个 铁皮 里面 ， 卖 的 东西 都 差不多 。
590,fqworld ::: 17713372918 ::: 说 天气 热 ， 睡 了 一 下午 还是 头 昏昏
728,olivia4ever ::: 140199858723229697 ::: 今夜 ， 我 玩 了 最终 幻想 。 。 。 。 第一 次 ！！ ！ 我 咋 觉得 这么 不 考验 智商 啊
930,olivia4ever ::: 518379168925380608 ::: 明天 过节 ， 今天 在 香米 园口 买 了 只 羊 ， 从 西 羊市 拉 进来 ， 游客 被吓 住 了 ⊙▽⊙
960,celte ::: 253777580350660608 ::: 落枕 了 咋 那么 造孽 ！ 还 抽筋 说 ！
1221,olivia4ever ::: 31003461604614146 ::: 钟 立风 竟然 都 代言 凡 客 了 ！
1255,bones7456 ::: 38417274142601216 ::: 刚 收到 公司 通知 ， 我们 也 都 要 升级 成 19 寸 双 显 了 。  RT  @muzuiget : 哎呀 我 爽 了 ， 入职时 公司 给 我 配 的 是 19 寸 显示器 ， 还是 VGA 的 。 现在 给 我 配 了 个 新 的 22 寸 戴尔 ， 用 上 DVI 了 ， 4 个 USB 接口 ， 支持 HDMI ， 我 靠 还 能 旋转 的 ！ 更 爽 的 是 ， 旧 的 显示器 暂 不 收 回去 ， 所以 ， 哥 也 双屏 了 ！
1267,jiggo0115 ::: 269623402418032641 ::: 不知 为何 ， 今日 出门 拿 了 件 红色 衣服 。
1321,celte ::: 210576600180338689 ::: 尼玛 ， 才 发现 会议 提供 的 杯子 那么 脏
1383,fqworld ::: 14154640178 ::: 说 下班 吃 拉面 ~
1713,mason_bin ::: 508805954834411521 ::: 回 深圳 了 。
1791,fqworld ::: 22800404251 ::: 说 周末 了 打 了 篮球 、 听 了 Tizzy Bac live 演出 ， 还 看 了 3D 武力 全开
